label,tweet
fear,"min mau tanya fb suami saya tidak bisa dibuka karna lupa pasword dan email yg dahulu gak bisa diakses katanya dulu itu gk ada verivikasi ke email tersebut apa bisa di pulihkan lagi ya , terimakasih"
trust,Meeeeeerrrrrrdddddddeeeeekkkkkkkaaaaaaaaaa4
trust,pke watsapp simpel bnget gk ribet
anticipation,Klau memang ga cukup logistik. Buat pengumuman donasi. Rakyat mu ini ga pelit.\nCc : @prabowo @Fahrihamzah @fadlizon…
fear,Aku mulai takut menghadapi hari. Seperti disiksa mendadak. Aku takut dia tidak kembali.
trust,"Khofifah Salip Gus Ipul, PDIP: PKB Jangan Setengah-setengah #EmilDardak"
anger,"I swear you yang kalo ngechat ""Ko/Koh/Iko"" terus ku balas secepat kilat tapi ga dibales lagi. Kzl boleh kan yak? Yak kalo dichat gitu, pikiran dah kemana2, dapaya, penting ga nich? Terus ngilang. Kan iko sugus jadi bete"
trust,"Setiap orang semua sama, memiliki 24 jam dalam satu hari. kesuksesan ditentukan oleh seberapa baiknya anda memanfaatkan waktu anda."
joy,@null HUT Kartini Perindo di Lampung Diwarnai Aksi Deteksi Kanker Acara berlangsung di
trust,"@RomyYudi @tribunnews @prabowo Setuju bro ,,,Insya Allah kita Akan ambil Kembali Negri Yg Sdh dirobek robek oleh As…"
trust,Pokoke Pilih @ganjarpranowo\nSing wis jelas bukti. Mboten Korupsi Mboten Ngapusi. Ramah tur Peduli.\n@Pdipcilacap
trust,Baru sekarang saya lihat ketua Umum partai jadi juri pencarian bakat.. suka dg kecerdasan dan daya pikir Gus Romy..
fear,"/rlt/ im not ready for tomorrow, aku cm takut bakal ada hal buruk besok hari, aku jg gk punya sahabat yg brng seneng sedih, aku jd ngejalanin hari makin takut"
sadness,"Biar kelihatan rame. Biar kelihatan meriah. Biar kelihatan fasilitasnya komplit. Dan biar kelihatan kerja. Padahal, laptopnya di on kan, cuma buka streaming radio. [URL]"
joy,Partai Demokrat Resmi Dukung #EdyRahmayadi - #IjeckShah di Pilgub Sumut via @TagarNews
anticipation,Domino pizza serang berlaku ngga min
anger,Pengacara Setya Novanto Tuding Wapres JK Bikin Gaduh
sadness,"Buka puasa makan mujigae porsi berat alias segambreng, balik dari mujigae makan ayam geprek+nasi, & barusan aja makan mie rebus. Woiii semenjak puasa porsi makanqu tidaq terkontrol dengan baiq"
anticipation,"om saya dari wali/pewaris dri hidayatul awalia dan yuliana betari ,tolong segera di hapus permanen akun yg bernana hidyatul awalia dan yuliana betari. karena orangnya sudah meninggal. Trimhkasih.."
anger,Alamak omongan @SBYudhoyono kpn bisa dipegang apalagi ditagih? Dia janji KATAKAN TDK PADA KORUPSI dgn iklan milliar…
sadness,"Dulu ada orang yang membawa segudang kata ajaib dan itu bisa menenangkan saya, bahkan merubah mindset saya waktu itu. mungkin saya sekarang membutuhkan orang seperti itu. orang yang membawa berpikul-pikuk cerita dan tak sabar ingin diceritakan."
anger,Pengacara Setya Novanto Sebut Jusuf Kalla Bikin Gaduh
sadness,"[USERNAME] [USERNAME] [USERNAME] Begitulah mereka. . . Benar kata pepatah ""kemarau setahun dihapus hujan sehari"" Miris sekali negeri ini. . . Sebegitunya demi kepentingan tertentu. . ."
anticipation,"@jokoanwar Gampang koq, hilangkan pasukan @Gerindra dari DPR, dengan tidak memilih nanti 2019. InsyaAllah RAIB."
anticipation,"Hati-hati, dengan penipuan yang mengatasnamakan MNC Group ya, Sobat MNC Life"
sadness,"Sadarkah kamu kalau hati papa merasa cemburu? Saat kamu mulai lebih dipercaya, dan papa melonggarkan sedikit peraturan untuk keluar rumah, kamu akan memaksa untum melanggar jam malamnya."
trust,Pernah mendengar beras hitam? \nBeras hitam adalah salah satu dari jenis beras yang dapat dikonsumsi sehari-hari. Kandungan antioksidan yang tinggi dan kaya akan serat pada beras hitam akan membantu memperlancar pencernaan pada tubuh. \n\nJangan tunda lagi untuk mengatur pola makan yang sehat...\n#polamakansehat #sehat #berashitam\n\n#LippoInsurance #LGI #CashPlus #HealthInsurance #MyHealthDuo #S!gap #GeneralInsurance #eBenefit #Medicare #GoldenCare #TravelInsurance #HomeCare #AutoProtection #BusinessCare #FeelFreeToExpress #SuperSelamat #SuperSakti #LivelyTips #HealthPlus #MarineCargoInsurance #AsuransiAneka #MiscellaneousInsurance\n\nwww.lippoinsurance.com\nwww.MyProtection.id
trust,Ngganteng bingit
fear,Semakin yakin bahwa negeri kita punya masalah besar ☹
trust,@DheaMerlinda @prabowo Harus tumbang#2019GantiPresiden Kalw tidak kita dan ank cucu kita disingkirkan\nSekrg aja yg…
anticipation,Pengacara Setya Novanto Akan Laporkan Tindakan KPK ke Jokowi
anticipation,Sekitar serpong atau legok uda ada blm ya??
anticipation,bagaimana agar akun kita bisa resmi atau terverifikasi
trust,"Selected by Kevin Julio!\n.\nSecara special, Kevin Julio membagikan idenya untuk membangun penampilan yang stylish & gentleman untuk kamu para pria! Tunggu apalagi? Segera temukan koleksinya hanya di Butik Lee Cooper, Dept. Store &\nwww.leecooper.co.id\n.\n#leecooperindo\n#since1908"
sadness,Pati juga punya seni tari angguk [USERNAME] tapi tak pernah diekspose [USERNAME] #asliPati #nguri2 seni pesisir [URL]
anger,[USERNAME] Mas Adie biasanya para pecundang memang kaya gitu...selalu berharap hal terburuk menimpa negri ini sambil meperkeruh suasana .... dengan harapan ada kesempatan untuk mencuri kekuasaan...#2019IstiqomahJokowi
joy,Selamat datang Pak @ganjarpranowo di kota kami tercinta RANDUBLATUNG
trust,@ANTONYMOUSCOW @ninitewel @Li3nda_ @basuki_btp @prabowo Benar begitu kebenaran sejati hanya milik Allah SWT yg hakiki..
sadness,@mk_ridwan aku mah apa atuh... hanya butiran debu
sadness,Turut berduka cita atas berpulang nya Guru kita KH. NAHDLUDIN RUYANDI ABBAS.. Alfatihah.\n\n@cakimiNOW @gusmusgusmu…
joy,Bagaimana bangsa ini mau maju kalau generasi milenialnya pesimis? Makanya ayo kita optimis! #MilenialOptimis…
joy,@dichyduk @muhamadotib @Syamsul_Faroh @AKanabra @DPP_LPI @Gerindra @PKSejahtera @MardaniAliSera Hahahaha modal meme…
disgust,@ToniPSI11 @Dyno_domino @LawanPoLitikJKW @Dennysiregar7 @AntoniRaja @grace_nat Lagi nyindir seseorang sepertinya
anticipation,Untuk makan ditempat berlaku gak min voucher ini?
anger,sama.adiknya jg tuh si lita gw ga mau akrab2 lg coz mama gw benci bgt sm dia maklum mama gw sodara keluarganya ada keturunan saraf jd yah gitu kebanyakan yg jahat sialan dengki sm gw emg sodara mama gw
sadness,Yaaaa. Kecewa deewh. @cakimiNOW \n#ayodukung
disgust,"saya setuju kepemimpinan mempunyai masaya... dan tentu mempunyai tujuan untuk negara yang rakyatnya makmur dan hidup dalam kebahagiaan..namun sama halnya kepemimpinan sekarang ini... juga sama tujuannya cuma beda nama dan beda cara.... betapa diktatornya sekarang kalau kita melihat dari sisi yang berbeda... untuk sisi kebebasan berpendapat tidak,karena itu sudah dibongkar oleh budimansujatmiko... tapi sisi damai dan orientasi ekonominya gemana...???? banyak sekali orang yang tidak bisa tidur hanya karena ditagih utang oleh para debtcolektor.... sama deritanya bung.... untuk berpendapat mungkin masyarakat saya kira tidak banyak yang butuh dan mau berpendapat... namun untuk berhadapan dg debtcolektor itu pasti lebih banyak yg untuk hidup damai tanpa debtcolektor dari pada meminta kebebasan berpendapat.... dulu yg represif hanya dalam satu krcamatan ada 5-10 tentara akan tetapi sekarang yang represif 100- 300 depkolektor...dlm satu kecamatan... jelas enak mana bosss budiman sujatmiko yang saya cintai.."
sadness,mulai kapan nih kmrn sy bukber di mcD kalibata mall koq G dpt ???
joy,"Bp. @ridwankamil Masuk Peringkat 50 Besar Pemimpin Terbaik Dunia,\nberikut beserta Prestasi2 yg telah beliau raih...…"
anticipation,"Esok, Cagub dan Cawagub Jateng akan mengikuti Debat Kedua. Akankah bicara soal nasib Pegunungan Kendeng yang sedang…"
anger,Paslon yg gunakan cara2 musryik begini sebaiknya jauhi dan jangan pernah dipilih.\nSdh pasti amat dilaknat oleh Alla…
fear,"Menurut Cak Nun, orang yang tak percaya akhirat, logisnya tak percaya Allah. Secara syari', dia kafir. Tapi Cak Nun tak mau bilang Mega kafir tapi dia orang yang tak paham."
anger,"Nih baca jgn nunjuk2 pihak lain, tugasnya sbg yg ktanya wkl rky sgt mmuakn @DPR_RI @Gerindra @PKSejahtera @fadlizon"
disgust,Liat video dia ketawa tawa pas jkw lempar lempar barang dr dalem mobil eneg banget rasanya..bukannya mengingatkan pak jkw itu perbuatan tidak baik ehh dia malah ketawa tawa ..hadeehh
sadness,"[USERNAME] Yang aku kenal udah nikah tu anak listrik mantannya temenku sih, dan uda punya anak... sedangkan ku masi nunggu wisuda ???? ini emang uda pada masanya nikah atau begimana si yak"
anticipation,Boleh tau ukuran berapa jaket/kemeja/kaos Ari?
trust,"2004 dan 2009, saya pilih SBY. 2014 pilih Prabowo. Pilih @SBYudhoyono karena memang kredibel. Pilih @prabowo karena…"
fear,Tolong warga di tempat kami ini di bantu penyelesaian masalahnya. Kalau memang harus di bangun mengapa harus ditempat tinggal inggal kami dan disakping rumah warganya. Terimakasih atas perhatianya.
anger,"Sebagai cewek gw salut banget sama via vallen ini. Buat kita para cewek, tindak pelecehan ini semacam aib yg gak pengen orang tau. Tapi dia berani! Thats why gw sangat emosi baca komen yg menghujat dia. Sesama cewek bukannya saling menguatkan malah menjatuhkan. So sad!"
sadness,"[USERNAME] kalo aku tipe orang yang nabung tiap mau beli sesuatu. Kalo lagi gak ada yang di beli, paling susah nyimpen uang. Banyak banget godaannya :( #DGITM"
anticipation,"As,kalo punya saya sudah habis pak ktp nya ,selanjut nya gmn,bisa perpanjang atau gmn?mohon bantuannya"
anticipation,Pitinya lagi beli cemilan dan minuman dingin.. Penting? mention ajah. :p
sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.
anticipation,"Kami mendapatkan laporan mengenai informasi yang beredar dimana dikatakan bahwa Facebook akan menjadi layanan berbayar, dan salah satu cara untuk bisa terus menggunakan Facebook secara gratis adalah dengan menyebarkan pesan berantai. Dengan ini kami sampaikan bahwa informasi tersebut tidak benar.  \n\nSeperti yang telah kami sampaikan di Pusat Bantuan Facebook, \Facebook merupakan situs gratis dan tidak akan pernah mewajibkan Anda untuk membayar agar bisa menggunakan Facebook.\ \n\nInformasi lebih lanjut: Snopes telah melaporkan bahwa berita hoax ini telah beredar sejak tahun 2009: Anda ingin melaporkan berita hoax? Kami dapat membantu Anda di facebook.com/report"
trust,Pahami sebelum berkomentar. Karena ucapanmu tak akan bernilai jika kamu berbicara hal yang tidak kamu pahami.
anger,"KALAU BENAR DAN TERBUKTI.....TANGKAP BIANGNYA, BUBARKAN PARTAINYA......!!!!!"
anger,Kalau begal bagaimana pak polisi ? Terus pelaku nya kerusuhan tersebut apa hanya di bubarkan saja ? Kenapa tidak tembak mati saja. Agar jera tidak lakukan lagi.trims [URL]
joy,"Roadshow Perindo Bengkulu, Masyarakat Pondok Suguh Ngantri Berobat Gratis  I Ketum @Hary_Tanoe #PerindoUpdate"
trust,@armanpaluta @prabowo Bapak @Prabowo  harapanku!! Doa ku menyertai mu...
surprise,"HEMAT hingga 45 ribuan!!\n\nTiap pembelian Geboks (9 pcs Ayam+ Sambal Geprek) atau Geboks Combo (5 Ayam, 6 Chicken Strips, 2 Chicken Kranz + Sambal Geprek), GRATIS 3 Teh Pucuk + 3 Nasi senilai 45ribuan.\n\nPromo hanya berlaku 4 hari, dari tgl 9-13 Mei 2018. Yuk Buruan ke CFC"
trust,"@ILC_tvOnenews @karniilyas Sy pribadi kepingin banget Bangsa ini aman dn tentram dulu, baik gangguan dri dlm maupun…"
anticipation,Apakah terlalu banyak menyukai halaman dan bergabung di grup mengakibatkan kabar berita berat dan tidak bisa terbuka??
disgust,"Banyak orang bertanya, apa yang kita peroleh dengan reformasi ini?\n\nBelum lama lho, baru 18 tahun. Ibarat remaja baru nakal-nakalnya. Keinginannya banyak dan kadang hilang orientasi.\n\nTapi bagi sebuah bangsa, 18 tahun itu masa yang sangat pendek. Jadi kalau masih banyak yang harus diperbaiki, adalah sesuatu yang wajar. Bagian dari proses kita menjadi bangsa. Proses menjadi Indonesia yang seutuhnya.\n\nKita ini lebih dari seperempat miliar orang, wajar jika berbeda pendapat soal berkah reformasi. Misalnya yang membandingkan harga-harga murah di masa lalu tanpa paham bahwa itu diciptakan lewat subsidi tak sehat dan gundukan hutang luar negeri. Banyak yang bilang dulu sepi korupsi, padahal kenyataannya lebih ngeri, cuma senyap di meja pejabat karena tak ada media berani memberitakan. Banyak yang rindu negara tanpa gejolak padahal itu dicapai dengan represi luar biasa tanpa kompromi pada perbedaan pendapat.\n\nJadi, kalau masih banyak suara yang bahkan menginginkan balik ke era orde baru, ya wajar juga. Kita tahu bagaimana korup dan kejamnya pemerintahan Marcos di Philipina. Tapi banyak yang masih mengelu-elukan sampai saat ini.\n\nCuma, banyak yang tidak sadar bahwa reformasi itu mengembalikan salah satu hak paling dasar bagi kita sebagai manusia: Kemerdekaan Mengemukakan Pendapat.\n\nSaya masuk penjara di masa orde baru karena berjuang meminta kebebasan berpendapat.\n\nJadi, buat mereka yang kangen era orde baru, bayangkan satu hal kecil. Untuk membuat satu status di Facebook, mungkin Anda harus mendapat persetujuan dulu dari Koramil agar tidak dianggap subversif. Mau nge tuit 140 karakter harus bikin draft yang dicap pihak kecamatan, dan baru bisa dikicaukan setelah disetujui. Semua biar tidak dianggap subversif.\n\nSaya berlebihan? Mungkin. Tapi karena saya pernah merasakan seperti apa represi masa Orde Baru, saya bisa memberi gambaran yang kira-kira cukup mendekati.\n\nJadi, masih mau bertanya apa gunanya reformasi?"
joy,"Bersihkan lingkungan kita dari #sampahplastik #bahaya \nPantai kita rizki kita, laut kita harta karun kita"
sadness,"Mudik kali ini bawaan lumayan banyak, karena banyak baju yang dulu beli di Cirebon harus dibawa pulang karena sekarang udah ga muat di badan. LOL"
anticipation,Prj Kapan ka
joy,Shalom Bapak Ignasius Jonan selamat Paskah Pak bersama keluarga Kebangkitan KRISTUS adalah rancangan ALLAH yg sempurna bagi kita semua selamat  berkarya kami sangat bangga kinerja Bapak TYM Amin
fear,Nasabah Bank Mandiri ketar-ketir setelah merebak isu terkait pembobolan rekening miliknya. Nasabah mengaku tak hanya jutaan tapi puluhan juta uang di rekeningnya raib tiba-tiba. Bahkan pihak bank tanpa permintaan nasabah langsung memblokir rekening.
joy,"Ini merupakan bentuk responsif menyikapi pertemuan Coal Trans di Nusa Dua Bali yang berlangsung dari tanggal 7-9 Mei 2018. Trans Coal adalah pertemuan reguler para pebisnis batubara di seluruh dunia, yang bertujuan untuk terus melanggengkan penggunaan Batubara di dunia. Pertemuan ini dinilai akan melahirkan upaya untuk terus melakukan ekploitasi terhadap sumber energy batubara. \n\nPembangunan PLTU akan meningkatkan polusi udara dan mengganggu kesehatan. \n\n#StopBatubara\n#StopIzinBatubara\n#MoratoriumIzinTambangBatubara\n#Stopenergikotor\n#PulihkanSumateraBarat\n#PulihkanSumbar\n#PulihkanIndonesia"
anticipation,Ini brp an? Paket ny gmn mkn an nya? Klo campur2 bs dpt voc 35 ga? Cfc central b.lampung?
joy,"Terima kasih Facebook , ini sangat membantu.. \nBanyak sekali pesan seperti ini masuk di messenger saya.."
anger,"[USERNAME] lah yaudah kaga usah diliat. atau lu ada gangguan jiwa kek gua? yang udah tau kaga demen, tapi diliatin mulu. toh duit juga duit dia. asal kewajiban dia sebagai istri&ibu gak terbengkalai mah. gua lebih gak suka dia karna beberapa sifat 'k"
sadness,"Walaupun waduk banyak manfaat tapi bagi kami, pembangunan waduk akan menenggelamkan kampung trmpat kami lahir,  tempat org tua,  kakek nenek kami.... Stop pembangunan waduk rokan kiri"
surprise,Jokowi Batal Hadir di Pembukaan Rakernas Hanura di Pekanbaru
sadness,@MRomahurmuziy 4. emak2 di pasar kecewa harga2 naik
sadness,"Ketika org minum obat penenang, dipandang sebelah mata. Ketika tidak minum, dibilang gila. Terserah apa kata org lah. Tidak membuahkan solusi."
anger,"@Dennysiregar7 @Gerindra @PKSejahtera @hizbindonesia @jokowi Dia lagi bodoh, masa 2018 pileg....\nKasihan"
anger,"@FrennyPahibe @aja_bapaktompul @NurSyahbana9 @Gerindra @prabowo Dulu dosen saya pernah bilang, jangan banyak bicara…"
joy,"((. Cak Imin Ngebet Jadi Cawapres, Dengan Jokowi atau Prabowo yang Penting Cawapres"
disgust,@eyan_55 @Dennysiregar7 @prabowo Haaa.. \nBiar lah mereka dalam kedunguan mereka.. \n1. Gak adaa menteri yang dobel s…
joy,Manortor setelah pemberian marga Harahap. @cakiminow sudah jadi warga Mandailing. Selamat ma atas penambalan marga…
trust,"Sahabat mengajarkan tentang arti kebersamaan, keluarga mengajarkan tentang arti ketulusan.@BPPemiluPDIP @NasDem…"
trust,"#beritaUNS UNS Cultural Night 2018 Dengungkan Pesan Keberagaman\n\nKeragaman budaya dan bahasa antar negara di dunia tak menghalangi para stakeholder di dunia pendidikan untuk saling menghargai satu sama lain. Berangkat dari hal tersebut, International Office Universitas Sebelas Maret (IO UNS) Surakarta menggelar UNS Cultural Night 2018 untuk memupuk toleransi dan sikap menjunjung tinggi nilai keberagaman tersebut di lingkup universitas. \n\nSelengkapnya"
anger,"[USERNAME] [USERNAME] Maunya hadiahnya aja (khayru ummah), perintahnya (menyuruh kepada yg ma'ruf dan mencegah yg Munkar) ogah. Ibarat pengen kenyang tapi ogah makan."
anger,@primarahmat27 @MayjenSudrajat @syaikhu_ahmad @PKSejahtera Aseli kampanye 2019 di debat ? Wkwkwkwkwk.. Keluar jalur…
joy,"2019 nanti insya Allah gue pilih presiden yg terlahir dari bumi pribumi asli,  asli wong jowo @jokowi  gue ogah pil…"
anticipation,"Setiap orang tentu mempersiapkan \bekal\ untuk masa depan. Kita bisa mulai dengan belajar usaha, buka tabungan berjangka atau mulai melalui berasuransi. \n\nUntuk membantu Anda mempersiapkan bekal masa depan dengan asuransi dan investasi, BNI Life hadir melalui Blife Plan Multi Protection: produk asuransi lengkap dengan investasi untuk masa depan yang lebih baik. \n\nYuk, mulai rencanakan masa depan Anda bersama BNI Life."
joy,Hadiahnya bagus
joy,Fokus #Rindu Mengatasi Masalah ekonomi Jawa Barat\n\n@RINDUjabarjuara @rkjabarjuara @ridwankamil\n\n#RinduJabarJuara1…
trust,@curhat_admin @Gerindra @PartaiSocmed @MasTBP_ @Takviri @chicohakim Ternyata oh ternyata harga kaos murah cuman 20r…
joy,PENGACARA: SETYA NOVANTO INGIN TEMUI JOKOWI
fear,aku cantik loh pacarnya acong jangan ganggu ganggu ya
joy,"Terimakasih atas informasinya min   Dapat dari teman lewat Wa tapi belum sempat isi,"
anticipation,"@ridwankamil Kenapa debat sih? Ga diskusi aja? Makin seru debatnya, rating acara tv nya naik? Terus iklannya jadi mahal ya.. gitu ya.."
trust,"Saya berharap kepada Facebook agar hanya menerima pendaftaran dengan id seseorang yang benar, agar tidak ada penyalah guna terhadap pengguna Facebook terima kasih"
sadness,"Ada masa dimana cewek berada diposisi gak ngenakin. Mau pergi tapi masih sayang, mau bertahan tapi sakit hati. Dan itu pasti gak enak. :')"
sadness,Masih mahal ukuran nasi uduk
joy,Kita #rindu jabar sejahtera\n\n@RINDUjabarjuara @rkjabarjuara @ridwankamil\n\n#RinduJabarJuara1 #Rindujuaradebat #jjonl1ne #RinduMenangDebat
joy,@PBB2019 @Yusrilihza_Mhd Dukung juga gak papah pak @Yusrilihza_Mhd . Setidak nya berikan kesempatan pada si \kuda h…
anger,wehh ga bs gtu jg dong. kalo pergantian gtu kan emg ada transisinya. tp hak nya kan tetep ssuai jobdes dong. kmu puasa2 di dzalim gtu. pukpukk. senior junioritas itu
anger,"[USERNAME] [USERNAME] [USERNAME] Hei Claudia klo jawaban kek gini udh gw tau dr kmrn keles.. sabar ya kak, dtunggu ya kak.. silakan di cek di bla bla.. template semua.. ga mutu!!"
disgust,Fadli Zon mah bakal manfaatin apa aj buat kepentingan kelompoknya alias ramashoooook~ #Terbaru #Kilas
anger,"dapet banyak share di WA..saya mah BoMat,lagian mana ada mo bagi2 kupon gratis dgn cuma2,hadeeehh"
anger,"Facebook gimana ini masa saya gk bisa ngambil foto dari galeri buat dimasukin ke facebook , tolong perbaikannya ini udah lama banget dari seminggu kemarin ..."
fear,"kenapa fb saya tidak bisa keluar, coba lagi dan coba lagi????"
anticipation,Berapa satu mbak
anger,"sah-sah saja anda fans persija. Membela pemain klub favorit. Walau persija bapuk. Tapi jangan keliatan banget lah, apalagi soal Via Vallen & Simic ini. Mikir!!"
anticipation,lupa kata sandi terus nomernya ilang dan belom cantumin email gimana?
anger,"@arsul_sani @MardaniAliSera @DPR_RI @jokowi Makin gila ajah si @MardaniAliSera \nKritik boleh, tapi tetep waras...\nB…"
surprise,Sebabnya apa ini
joy,@dapitdong @ronavioleta @prabowo @aheryawan ... Pasangan ideal...
fear,Facebook bagaimana cara nya nmor telepon yg saya gunakan sudah tidak aktif lagi yg saya maksud itu fb fernando nando yg ini apakah boleh di tambahkan dgn nmor ponsel yg lainya saya takut nya ke blok ntar\nmohon penjelsan nya fb
anger,"Lalu bagaimana dengan negara? Mereka akan kehilangan banyak pendapatan dari cukai rokok. Hutang negara akan semakin banyak. Ah, itu kan hanya pembenaranmu saja. Coba lihat ini! Bagaimana? Apa pendapatmu masih sama? [URL]"
sadness,jauh min ..ke Jakarta. .
joy,Untuk warga #jawabarat teh @rachelmaryams berpesan jangan lupa dukung pasangan #asyik pilihan Pak @prabowo…
anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat."
disgust,@CintaNKRI12 @prabowo Org ini memang hrs diganti....
trust,Ok
joy,Ganjar Sebut SBY Akan All Out Mendukungnya di Pilgub Jateng
joy,Wehh...emang keren kotanya kak Fikri Jamil...
sadness,"Kalo nanggung kea skrg itu lebih betein ketimbang pas pendek. dulu yes, sekarang no. mungkin ngambek selalu dipotong. udah 3 tahun gapernah lewat sebahu  and u ka [USERNAME]?"
anger,@kangmeirza @SBYudhoyono Sdh cukup lah.dorong anak mu saja jadi wakil Komisi biar lebih pass.
trust,@Al_Fatih1453__ @DPP_PPP @PKSejahtera @PBB2019 @Official_PAN Saya pilih pks partai yang jelas komitmen terhadap ummat
joy,"Done , akhirnya ketemu juga brosur COMM CLASY CARE , pas banget nih buat si papa yg lagi cari info produk keuangan yang baru \n#ichoosehappy"
sadness,"tiap minta perawatan sama mama suka dibilangin macem2 gt yang nanti ketergantungan lah yg banyak bahan kimia nya lah jdnya doi suka bikinin masker yg bener2 alami dari bengkoang,plain yoghurt kadang strawberry tapi ya gt efeknya lama ceu"
anger,tolong hapus foto2 mayat atau orang meninggal di halaman facebook karena itu tidak pantas dipertunjukkan
trust,"Terlambat memulai karier, bukan berarti tidak ada kesempatan untuk sukses. Ini tips yang bisa kamu lakukan untuk menunjang kariermu!"
disgust,@Rakyat_Kerikil @Gerindra @cumarachel @MayjenSudrajat @syaikhu_ahmad @sudirmansaid @idafauziyah Satu kata ....menghayal ente
joy,"Gus Ipul - Mbak Puti itu Mampu Memimpin Untuk kesejahteraan masyarakat Jawa Timur, Kabeh sedulur kabeh makmur ✌Teta…"
sadness,Sayang nya kami tidak dapat mengakses akun Anda saat ini. Kami meninjau dokumen tambahan ini.\nKami menghargai kesabaran anda.kami akan kembali pada anda secepatnya. udah sebulan tetep ajja gx bisa masuk udah Gonta ganti sandi tetep ajja. Ngajuin banding no tersebut tidak termasuk akun yg d nonaktifkan. Kenapa itu mind. Tolong itu akun pribadi yg sah. Udah kirim email udah segala d lakilui. Tetep ajja. Kami akan segera kembali pada anda secepatnya.....
fear,"Hati2 Pak Jonan, tidak biasa naik motor apalgi scooter vespa berat."
trust,@mau_sate temen aku juga nyangkanya gitu katanya gara gara daniel sering disamain sama pak ridwan kamil (kang emil)…
trust,"Kanan-Kiri Oke, Muhaimin Ngebet Jadi Cawapres Jokowi dan Prabowo"
trust,"Sebab Dogma sejarah kelam yang temurun dari orang tua, membuat sulit mendobrak Revolusi yang harus menjadi asas gerakan, seolah membuat mereka bungkam,, namun jiwa pemikir pejuang dan pejuang pemikir akan tetap mencari kebenaran, disini garis Sejarah akan diluruskan. Salam Pembebasan...."
disgust,Min ini kok ga bisa bisa \nMenu yg bisa di pilih gimana ?
trust,Jangan Sia-Siakan Waktu Pak @prabowo Segeralah Ber-Istikharah Mau Pilih @anismatta @aheryawan @mardanialisera…
anger,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?"
surprise,"Kutuk Bom Surabaya, Prabowo Tampilkan Hal Tak Terduga"
sadness,Kebutuan menjelang hari Lebaran semakin mendesak apa pun segalanya harus di bli sementara harga sembako dan pakean semua nya serba ganti bandrol/harga ya semoga di beri kesabaran hati jangan kt terburu oleh hawa napsu setan yg tak bertanggung jawab
anticipation,"Pertamina gerak cepat dalam insiden terbakarnya tangki pengumpul minyak mentah H-4 di Stasiun PPP Sangasanga, semog…"
sadness,"Masa keemasan saya ketika mampu menyabet, Double dengan patner saya Dwi Sulistyono di kejuaraan Badminton piala Bupati 2008 dan 2010. Kala itu banyak yang menganjurkan untuk fokus Badminton, ikut audisi sirnas, dll. Tapi bapak ngotot untuk sekolah saja."
joy,@BangPino_ MARI BERSEMANGAT HANCURKAN PELACUR AGAMA ... HANCURKAN PELACUR AGAMA dan teman-temannya…
sadness,"@ganjarpranowo @EnthusSusmono Nderek belosungkowo Mugi   pun tampi sedoyo amal sae  ,pun pangapunten sedoyo kalepat…"
joy,"Mantap, sukses selalu walhi sumbar"
trust,@prabowo Dari pemilihan lalu saya sdh dukung pak prabowo.   Smg 2019 bpk bisa memimpin negri ini..
anger,Pesan Strawberry Sundee bgni diberikan mana es creamnya sdh cair lagi. Tolong Mcd ditingkatkan pelayananny dnk
anticipation,"Siapakah di Indonesia yg bisa bperan spt Mahathir, &amp; Anwar? Bisakah Prabowo, Salim Segaf, Sohibul Iman, SBY, Amien…"
fear,gw seneng2 sedih. apakah ini awal peresmian mabes atau awal kampanye pilleg caleg2 dari bressel??? @idza_priyanti…
anger,"[USERNAME] [USERNAME] [USERNAME] Ganti. Presiden cuma sama kaos itu pilpres diman bro jd sebutin. Presiden. Loe bkn koar2 ganti presiden, sadar diri n partai"
joy,"Alhamdulillah akhirnya bisa ketemu juga brosur comm clasy carenya. Semoga bisa segera buka polis baru lagi nich ceritanya. Sekarang lagi jaman now lebaran bukan beli baju baru, tapi beli polis baru...\n#commlifeid\n#ichoosehappy"
joy,Asik . Gak mesti ngantri lama lagi di scp :3
joy,Dengan program gerbang desa orang-rang desa tidak perlu pindah ke kota untuk mencari pekerjaan (Mereka dapat UMR ko…
sadness,[USERNAME] aku tadinya gamau baca sebelum beres skripsi wkwk padahal pas bedah buku catatan juang aku dateng. udah fix banget ini semhas habis libur lebaran huhu pasti itu sudah waktu yg tepat
anticipation,Hanura Agendakan Penguatan Dukungan Capres Jokowi - Indonesia Raya -
fear,"Si Dera aja, akun alter yang suka flashing her boobs once in a while, bilang dia merinding ngeliat siksaan demi siksaan yg gua alami ahahaha [URL]"
trust,"@ridwankamil Nyotoh pengusaha Cina,yg menjual kemasan.. kemasannya cantik dan isinya angin..isi makanannya hanya be…"
